"filename", "language", "YAML", "Markdown", "C++", "CMake", "Swift", "XML", "Dart", "JSON", "Properties", "Gradle", "comment", "blank", "total"
"d:\Print In Progress Company\edconnect_admin\LICENSE.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18
"d:\Print In Progress Company\edconnect_admin\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Print In Progress Company\edconnect_admin\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\Print In Progress Company\edconnect_admin\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 5, 12, 68
"d:\Print In Progress Company\edconnect_admin\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"d:\Print In Progress Company\edconnect_admin\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 1, 34
"d:\Print In Progress Company\edconnect_admin\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"d:\Print In Progress Company\edconnect_admin\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"d:\Print In Progress Company\edconnect_admin\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"d:\Print In Progress Company\edconnect_admin\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"d:\Print In Progress Company\edconnect_admin\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 5, 31
"d:\Print In Progress Company\edconnect_admin\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Print In Progress Company\edconnect_admin\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Print In Progress Company\edconnect_admin\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 6, 30
"d:\Print In Progress Company\edconnect_admin\ios\Flutter\AppFrameworkInfo.plist", "XML", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
